earth is the _______ planet from the sun.,third,fourth,fifth,,third
earth was formed ____________ billion years ago.,4.52,4.53,4.54,,4.54
earth is the only planet that supports ________.,life,atmosphere,helium,,life
equitorial diameter of earth is ______.,<5000,<10000,<13000,,<13000
number of moons of the planet is ?,1,2,3,,1
orbit period of earth is __________.,365,365.24,366,,365.24
surface temperature is about _________.,-82 to 58 c,-88 to 58 c,-88 to 54 c,,-88 to 58 c
the earths rotation is slowing __________ millionseconds per hundred years.,11,15,17,,17
earth has a powerful ________ field.,magnetic,electro magnetic,electric,,magnetic
70% of earths surface is __________.,plants,water,air,,water
_______ is the earths only natural satellite.,moon,sputnik,molniva,,moon
"earth is mostly made of __________,_________ and __________-.","iron,carbon and oxygen.","iron, oxygen and silicon","iron, carbon and helium",,"iron, oxygen and silicon"
the actual shape of the earth is _________-.,spear,oval,geoid,,geoid
earth tilts roughly at ___ degree.,66,64,67,,66
how much percent of water is fresh on the surface of earth?,2,4,3,,3
